Comb sort. Array size: 10000,Insertion sort. Array size: 10000,Selection sort. Array size: 10000
1.5593,13.5581,27.6513
1.2625,13.559,27.6426
1.1499,13.5613,27.6002
0.895,13.5619,27.6248
0.89,13.5465,27.585
0.9041,13.5511,27.6394
0.8958,13.5503,27.661
0.8919,13.7826,27.5702
0.8905,13.5864,27.3021
0.8906,13.5788,27.1764
0.9194,13.5532,27.3131
0.8954,13.5531,27.6758
0.8925,13.598,27.4462
0.9386,13.5385,27.5315
0.908,13.5725,27.4617
0.8894,13.6099,27.4466
0.8888,13.5647,27.1904
0.913,13.5872,27.2772
0.8884,13.779,27.3856
0.8915,13.5981,27.2545
0.8878,13.6203,27.322
0.9366,13.6021,27.273
0.8878,13.5731,27.2161
0.888,13.5648,27.4117
0.8879,13.5716,27.5738
0.9012,13.5916,27.2199
0.8922,13.5577,27.1511
0.8912,13.5798,27.209
0.9057,13.5885,27.4307
0.8894,13.7509,27.2964
0.8884,13.5764,27.1572
0.8884,13.5729,27.4023
0.9035,13.5602,27.1652
0.8899,13.566,27.189
0.8877,13.5538,27.2586
0.8878,13.5795,27.2416
0.8875,13.5485,27.2937
0.8874,13.5539,27.4525
0.8878,13.563,27.6078
0.888,14.3245,27.7868
0.8882,13.6653,27.7999
0.8883,13.5588,27.6631
0.8872,13.5484,27.6742
0.8869,13.5639,27.5849
0.8871,13.5622,27.5883
0.8877,13.5564,27.6214
0.8879,13.5592,27.5585
0.8997,13.6052,27.3972
0.888,13.6027,27.346
0.8882,13.5835,27.4403
0.8881,13.4321,27.3145
0.8886,13.9251,27.4046
0.8878,13.5503,27.2097
0.8889,13.535,30.9397
0.8888,13.5812,33.8669
0.8876,13.5408,32.3559
0.8888,13.5727,27.229
0.8875,13.5355,27.1707
0.8882,13.578,27.1675
0.8882,13.5876,27.1728
0.888,13.597,27.292
0.8879,13.5449,27.3328
0.9042,13.5744,27.2351
0.8865,13.5619,27.2693
0.896,13.4808,27.2047
0.9046,13.4178,27.1181
0.9007,13.4449,27.2815
0.8991,13.4947,27.4501
0.8874,13.5689,27.3735
0.8992,13.6237,27.3342
0.9054,13.5589,27.2695
0.8936,13.5494,27.2055
0.906,13.5811,27.1552
0.9075,13.5525,27.1958
0.8884,13.4449,27.1307
0.8872,13.4742,27.1683
0.8874,13.4482,27.071
0.8878,13.4661,27.0884
0.8887,13.4792,27.1406
0.8867,13.3911,27.1773
0.8871,13.4596,27.2373
0.8868,13.4234,27.2227
0.8881,13.4724,27.1905
0.8873,13.4653,27.1588
0.8876,13.4014,27.1666
0.9364,13.4639,27.2083
0.8885,13.482,27.2086
0.8874,13.45,27.2095
0.8874,13.4337,27.2862
0.8884,13.4761,27.1711
0.8869,13.6026,27.2897
0.8889,13.9847,27.8191
0.8871,13.57,27.9736
0.8872,13.5805,27.7473
0.8872,13.712,27.7248
0.8885,13.6913,27.6805
0.8871,13.5642,27.6942
0.8877,13.5597,27.6805
0.8884,13.5635,27.7489
0.8987,13.5476,27.7079
