Comb sort. Array size: 5000,Insertion sort. Array size: 5000,Selection sort. Array size: 5000,,,
0.7698,3.6179,7.4096,0.40579,3.440374,7.063695
0.4001,3.421,7.0629,,,
0.4132,3.4368,7.0466,,,
0.5216,3.424,7.1097,,,
0.5089,3.4592,7.0503,,,
0.4923,3.4595,7.0544,,,
0.4993,3.4238,7.0684,,,
0.4486,3.4239,7.0714,,,
0.4129,3.4119,7.0828,,,
0.3922,3.4684,7.0585,,,
0.4545,3.4241,7.0573,,,
0.409,3.424,7.0226,,,
0.391,3.4239,7.0491,,,
0.4095,3.4301,7.0467,,,
0.391,3.424,7.0949,,,
0.3914,3.4239,7.0614,,,
0.4014,3.4239,7.0604,,,
0.3908,3.4281,7.0601,,,
0.39,3.4238,7.1257,,,
0.4235,3.4239,7.0645,,,
0.3907,3.4239,7.0394,,,
0.391,3.4423,7.058,,,
0.3897,3.4239,7.082,,,
0.3904,3.4239,7.0637,,,
0.3904,3.4289,7.0514,,,
0.3909,3.5961,7.1169,,,
0.4031,3.4753,7.0587,,,
0.4625,3.4794,7.0692,,,
0.3908,3.4238,7.0658,,,
0.4119,3.4289,7.0674,,,
0.3905,3.4275,7.0753,,,
0.3913,3.4321,7.1125,,,
0.3903,3.4731,7.0652,,,
0.3907,3.478,7.0702,,,
0.4035,3.4239,7.0945,,,
0.397,3.4617,7.0479,,,
0.3961,3.4862,7.0855,,,
0.3941,3.4241,7.0507,,,
0.3932,3.4945,7.0628,,,
0.3927,3.4627,7.0539,,,
0.392,3.4295,7.073,,,
0.4052,3.4348,7.0633,,,
0.3982,3.4173,7.0492,,,
0.3952,3.4239,7.0491,,,
0.394,3.4313,7.233,,,
0.3927,3.4455,7.1242,,,
0.3925,3.424,7.0473,,,
0.3925,3.4238,7.0798,,,
0.3918,3.4503,7.0755,,,
0.3907,3.4239,7.053,,,
0.4034,3.4239,7.0521,,,
0.3906,3.4157,7.0607,,,
0.4175,3.4351,7.0618,,,
0.3956,3.4239,7.0501,,,
0.444,3.4259,7.0588,,,
0.3911,3.4239,7.0728,,,
0.391,3.4239,7.0701,,,
0.3909,3.8045,6.9735,,,
0.3905,3.4296,7.0269,,,
0.3905,3.4476,7.0099,,,
0.3909,3.4246,7.0263,,,
0.3914,3.4187,7.046,,,
0.3904,3.4275,7.029,,,
0.3905,3.4353,7.0514,,,
0.3906,3.4239,6.9969,,,
0.391,3.4239,6.9866,,,
0.3925,3.4239,7.0133,,,
0.3908,3.4361,7.0418,,,
0.3934,3.4279,7.0339,,,
0.3905,3.4238,7.0223,,,
0.3986,3.4239,7.0199,,,
0.3936,3.4278,6.9898,,,
0.394,3.4239,7.0296,,,
0.3972,3.4238,7.0086,,,
0.4012,3.4238,7.0607,,,
0.3957,3.4295,7.0097,,,
0.3935,3.4246,7.0289,,,
0.3924,3.4228,7.0381,,,
0.3929,3.4239,7.081,,,
0.4105,3.4238,7.0625,,,
0.391,3.4283,7.0945,,,
0.3913,3.4261,7.0774,,,
0.3912,3.4287,7.067,,,
0.391,3.424,7.0506,,,
0.3916,3.426,7.0736,,,
0.3911,3.4263,7.0548,,,
0.3908,3.4239,7.0568,,,
0.3906,3.4475,7.0483,,,
0.3903,3.4239,7.0669,,,
0.3906,3.4239,7.0555,,,
0.3907,3.507,7.0504,,,
0.3901,3.424,7.2009,,,
0.4105,3.4283,7.0537,,,
0.3992,3.4294,7.0789,,,
0.3968,3.4145,7.0682,,,
0.3912,3.4585,7.0647,,,
0.391,3.424,7.0791,,,
0.4075,3.4239,7.0684,,,
0.4085,3.4473,7.0557,,,
0.3907,3.4239,7.0954,,,
