Comb sort. Array size: 50000,Insertion sort. Array size: 50000,Selection sort. Array size: 50000
5.5076,336.8554,657.6358
5.4359,335.3238,662.6143
5.4332,338.504,657.5887
5.4713,331.5598,656.7204
5.4631,332.8384,658.0641
5.4475,331.1145,657.0386
5.4295,331.4781,658.7508
5.4545,331.1061,658.5404
5.4349,331.6202,658.0235
5.4391,331.2685,657.1583
5.4345,332.2855,664.2985
5.4345,331.5645,658.3837
5.4437,331.6875,656.9108
5.431,332.1964,669.466
5.4329,333.4207,665.6739
5.438,332.6958,657.5514
5.4752,333.2945,658.6603
5.4381,331.8901,659.2258
5.4285,333.9757,657.2244
5.4373,336.86,657.7268
5.4326,339.5056,670.4852
5.4335,334.6906,659.6769
5.4368,333.6678,659.9632
5.4322,333.3663,660.1277
5.4431,333.3438,660.488
5.4304,332.0154,657.9093
5.4351,331.6999,658.7742
5.4372,334.1651,658.5712
5.4466,332.1235,660.5675
5.4255,339.5006,658.3048
5.4375,332.0803,657.6282
5.4509,331.5944,658.2982
5.4321,331.0437,658.4347
5.6616,331.5759,677.3629
5.4263,331.2618,658.8639
5.4468,334.3608,658.6366
5.4288,332.0082,657.7907
5.4387,331.9118,657.5185
5.4393,331.5297,658.7913
5.4343,331.6103,657.4984
5.4383,331.6026,657.7796
5.4311,332.6585,657.4805
5.4464,331.4507,658.2623
5.4525,333.5741,660.358
5.4326,336.4498,657.7406
5.4758,332.4023,658.136
5.4378,332.823,669.9076
5.4345,332.3189,657.8095
5.4327,331.7658,670.5602
5.4681,331.278,657.2275
5.4408,331.3258,657.5199
5.4592,333.3182,659.5324
5.4497,331.6626,657.0548
5.4365,334.1281,669.8304
5.4494,332.4823,662.7532
5.4447,332.089,657.1483
5.454,332.1484,658.4546
5.445,331.4829,660.0219
5.4336,331.4984,658.9458
5.4478,331.537,659.3979
5.434,332.0921,659.15
5.458,332.7744,657.5567
5.4445,331.6553,659.1122
5.4365,334.1612,658.4917
5.4621,334.3064,657.2602
5.4282,334.2186,658.0797
5.4711,334.0715,658.1984
5.4494,331.2994,657.3039
5.438,331.3755,657.7714
5.4794,331.7178,658.456
5.4274,331.2689,657.3216
5.4596,331.1518,657.3918
5.4278,332.0487,658.5584
5.4389,331.8358,657.6045
5.4562,335.9139,658.0698
5.4331,332.2103,658.0652
5.4307,331.484,657.8299
5.4172,331.8231,659.2895
5.4355,333.13,657.1965
5.4406,332.3484,658.7532
5.4339,330.7752,658.5979
5.4302,331.1758,658.0226
5.4331,331.3321,658.2974
5.4337,331.2685,658.7923
5.4296,332.3991,657.583
5.4209,332.8264,658.52
5.4488,333.1307,657.3197
5.4332,332.5764,656.7053
5.441,334.6845,658.7198
5.4292,333.1348,658.2989
5.4457,333.7483,657.0393
5.4318,334.3904,659.3631
5.4396,333.2349,656.9164
5.4387,333.5459,657.482
5.4324,333.0877,661.8989
5.434,332.7679,658.8082
5.4331,332.7434,658.426
5.426,331.7332,657.7816
5.4012,332.7786,657.393
5.3992,331.3554,657.1795
